id,ip,hora,duracion_min,n_peticiones,pct_rutas_privadas
205,192.168.0.244,12.22,2.88,117,0.019
42,192.168.5.71,14.94,9.92,62,0.051
125,192.168.0.184,6.9,9.3,41,0.032
123,192.168.4.190,18.49,5.92,52,0.044
106,192.168.1.234,13.56,8.71,70,0.031
138,192.168.3.129,9.19,6.03,53,0.066
55,192.168.0.102,11.44,5.13,38,0.054
181,192.168.2.177,14.6,3.05,144,0.017
121,192.168.4.200,11.59,12.31,27,0.05
75,192.168.0.15,7.44,10.97,30,0.048
218,192.168.1.167,12.83,2.75,109,0.017
257,192.168.3.52,21.17,58.55,9,0.901
6,192.168.4.254,9.05,9.37,50,0.05
133,192.168.1.143,10.57,5.71,26,0.039
232,192.168.3.51,11.08,1.84,113,0.027
250,192.168.5.59,23.56,35.03,9,0.726
192,192.168.2.5,18.55,2.94,121,0.015
16,192.168.2.60,16.49,5.16,32,0.066
100,192.168.3.3,8.24,12.48,18,0.066
114,192.168.2.53,6.25,4.9,34,0.055
44,192.168.1.75,10.25,8.56,20,0.049
171,192.168.0.111,10.85,10.61,40,0.061
225,192.168.0.189,6.67,3.69,62,0.023
40,192.168.0.251,7.23,6.14,59,0.039
135,192.168.3.83,11.96,6.51,48,0.04
200,192.168.4.100,12.2,0.61,118,0.023
207,192.168.3.172,0.7,1.29,109,0.025
260,192.168.2.245,23.52,57.65,4,0.624
168,192.168.5.44,9.85,10.68,13,0.05
112,192.168.1.11,17.41,9.35,21,0.06
116,192.168.2.239,7.65,5.77,7,0.025
167,192.168.2.2,5.89,6.22,17,0.067
165,192.168.0.52,14.92,10.12,45,0.053
122,192.168.4.91,12.56,7.89,42,0.045
124,192.168.0.239,12.09,7.84,51,0.029
259,192.168.2.36,22.18,41.44,6,0.828
236,192.168.2.229,0,1.77,142,0.016
208,192.168.0.151,20.22,0.5,116,0.016
90,192.168.5.53,10.51,7.71,49,0.059
120,192.168.3.230,8.3,9.19,47,0.038
111,192.168.2.141,6.65,6.48,40,0.043
182,192.168.0.52,8.77,1.28,140,0.021
36,192.168.1.203,11.47,9.29,49,0.039
91,192.168.2.225,10.09,6.9,68,0.05
27,192.168.1.247,13.1,6.21,28,0.03
143,192.168.3.121,9.96,9.61,38,0.044
128,192.168.0.161,16.62,8.74,45,0.038
1,192.168.0.195,9.35,9.14,44,0.06
86,192.168.0.222,8.81,7.87,28,0.018
201,192.168.0.212,17.41,0.88,100,0.019
170,192.168.4.91,14.37,7.73,51,0.055
147,192.168.3.47,10.41,6.49,23,0.052
23,192.168.2.176,5.24,11.11,51,0.055
189,192.168.3.193,14.43,0.5,51,0.017
70,192.168.4.102,12.97,9.04,43,0.073
99,192.168.0.147,10.08,7.31,15,0.041
252,192.168.4.50,21.31,62.84,6,0.922
83,192.168.4.5,9.38,6.45,24,0.056
49,192.168.5.201,14.52,8.74,29,0.06
193,192.168.4.19,4.16,2.99,149,0.014
104,192.168.3.11,16.65,8.9,35,0.063
186,192.168.4.54,0,0.71,115,0.03
163,192.168.2.244,9.74,10.01,29,0.072
206,192.168.1.54,14.9,0.5,102,0.008
136,192.168.1.2,9.88,9.38,37,0.076
195,192.168.2.88,13.24,1.09,164,0.008
17,192.168.0.74,15.13,11.75,42,0.055
30,192.168.5.244,14.54,8.08,45,0.067
68,192.168.5.45,12.54,6.97,8,0.055
87,192.168.3.72,13.61,6.48,45,0.069
94,192.168.1.187,17.46,11.43,30,0.078
7,192.168.2.14,14.17,9.76,45,0.066
48,192.168.0.140,10.94,6.53,45,0.056
248,192.168.1.65,23.04,44.75,8,0.684
39,192.168.3.212,10.42,11.87,51,0.041
89,192.168.5.170,12.37,8.79,26,0.058
183,192.168.2.29,5.92,1.92,96,0.013
238,192.168.0.103,21.67,1.02,133,0.013
130,192.168.2.9,10.41,10.71,57,0.035
137,192.168.5.82,7.79,7.03,38,0.033
196,192.168.4.130,9.78,1.39,116,0.024
38,192.168.1.65,10.07,5.02,49,0.047
2,192.168.4.241,10.98,10.95,32,0.033
161,192.168.2.238,6.84,15.35,55,0.053
169,192.168.2.9,5.62,5.07,45,0.051
243,192.168.3.151,23.99,39.34,13,1
142,192.168.1.246,11.82,5.15,63,0.046
53,192.168.3.146,15.62,5.34,49,0.005
253,192.168.5.230,23.26,53.24,11,0.484
230,192.168.4.193,2.76,1.04,108,0.018
202,192.168.5.79,12.89,1.55,168,0.028
233,192.168.5.232,0,2.7,106,0.027
31,192.168.1.239,20.07,6.76,12,0.048
234,192.168.1.208,23.54,1.22,110,0.016
149,192.168.1.117,11.63,4.61,71,0.043
85,192.168.2.238,11.59,1.56,35,0.035
180,192.168.3.47,11.34,6.18,36,0.053
254,192.168.0.189,23.29,59.93,11,0.868
222,192.168.2.118,9.6,2.71,144,0.025
62,192.168.1.215,11.74,6.89,75,0.051
79,192.168.5.217,9.04,5.47,36,0.045
152,192.168.4.33,17.61,5.93,40,0.05
229,192.168.5.116,10.29,0.89,146,0.025
134,192.168.5.173,11.09,7.26,39,0.059
126,192.168.1.111,11.19,8.89,48,0.093
81,192.168.0.63,10.62,12.72,44,0.039
15,192.168.1.105,12.07,9.06,26,0.094
28,192.168.5.107,14.46,5.19,42,0.039
9,192.168.0.29,12.67,7.15,30,0.05
56,192.168.4.208,10.45,9.68,69,0.039
156,192.168.1.87,10.75,10.79,17,0.075
215,192.168.5.134,9.98,2.27,99,0.02
176,192.168.5.142,16.65,2.33,42,0.04
140,192.168.2.81,11.81,5.09,32,0.064
244,192.168.3.228,22.51,38.14,10,0.491
127,192.168.4.74,17.07,2.86,56,0.041
144,192.168.1.245,12.77,16.0,23,0.057
8,192.168.4.114,16.1,13.37,34,0.026
14,192.168.3.241,10.66,3.24,41,0.042
60,192.168.1.184,11.61,0.93,38,0.034
118,192.168.4.141,15.34,7.17,44,0.014
153,192.168.2.6,10.95,6.39,44,0.075
119,192.168.2.68,9.38,7.64,23,0.06
251,192.168.0.206,22.17,47.1,13,0.822
101,192.168.0.239,13.82,9.75,48,0.055
46,192.168.1.236,8.62,8.23,36,0.045
103,192.168.2.29,12.77,11.38,35,0.045
32,192.168.4.161,10.49,13.84,23,0.06
219,192.168.0.179,8.08,3.34,156,0.015
216,192.168.1.173,4.61,1.77,146,0.015
223,192.168.0.239,7.05,1.3,131,0.01
115,192.168.2.100,12.55,9.75,41,0.051
197,192.168.5.72,22.19,3.08,115,0.017
50,192.168.0.198,11.47,12.08,48,0.048
150,192.168.0.81,13.52,10.4,16,0.071
173,192.168.1.215,12.22,11.26,7,0.089
110,192.168.1.93,13.39,9.1,34,0.039
245,192.168.1.18,23.5,41.91,17,0.829
76,192.168.2.5,9.99,9.31,66,0.064
13,192.168.1.15,11.71,6.61,55,0.044
77,192.168.0.19,16.88,5.73,40,0.059
25,192.168.5.174,7.3,10.37,30,0.042
74,192.168.2.41,14.68,8.23,44,0.063
45,192.168.0.49,11.54,7.12,41,0.039
67,192.168.1.157,10.65,4.56,38,0.043
52,192.168.3.60,13.61,11.43,5,0.045
184,192.168.0.124,16.63,1.2,121,0.022
157,192.168.1.11,9.87,12.17,55,0.062
154,192.168.1.50,10.71,6.98,49,0.053
151,192.168.3.141,10.8,6.45,47,0.016
226,192.168.0.85,7.97,2.1,109,0.028
